id,tx_hash
2021-05-RariCapital,0x171072422efb5cd461546bfe986017d9b5aa427ff1c07ebe8acc064b13a7b7be
2021-08-Cream,0xa9a1b8ea288eb9ad315088f17f7c7386b9989c95b4d13c81b69d5ddad7ffe61e
2021-08-PolyNetwork,0xb1f70464bd95b774c6ce60fc706eb5f9e35cb5f06e6cfe7c17dcda46ffd59581
2021-08-Popsicle,0xcd7dae143a4c0223349c16237ce4cd7696b1638d116a72755231ede872ab70fc
2021-09-DaoMaker,0x96bf6bd14a81cf19939c0b966389daed778c3a9528a6c5dd7a4d980dec966388
2021-09-Nimbus,0x5908622ce9670fdcd7954aa098aadb3e13882f198b795c6fea5ee6fc2c802d3c
2021-09-NowSwap,0xf3158a7ea59586c5570f5532c22e2582ee9adba2408eabe61622595197c50713
2021-09-Sushimiso,0x78d6355703507f88f2090eb780d245b0ab26bf470eabdb004761cedf3b1cda44
2021-10-Cream_2,0x0fe2542079644e107cbf13690eb9c2c65963ccb79089ff96bfaf8dced2331c92
2021-10-IndexedFinance,0x44aad3b853866468161735496a5d9cc961ce5aa872924c5d78673076b1cd95aa
2021-11-Mono,0x9f14d093a2349de08f02fc0fb018dadb449351d0cdb7d0738ff69cc6fef5f299
2021-12-Visor,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f
2022-01-Anyswap,0xe50ed602bd916fc304d53c4fed236698b71691a95774ff0aeeb74b699c6227f7
2022-01-Qubit,0xac7292e7d0ec8ebe1c94203d190874b2aab30592327b6cc875d00f18de6f3133
2022-02-BuildF,0x544e5849b71b98393f41d641683586d0b519c46a2eeac9bcb351917f40258a85
2022-02-Sandbox,0x34516ee081c221d8576939f68aee71e002dd5557180d45194209d6692241f7b1
2022-02-TecraSpace,0x81e9918e248d14d78ff7b697355fd9f456c6d7881486ed14fdfb69db16631154
2022-03-Auctus,0x2e7d7e7a6eb157b98974c8687fbd848d0158d37edc1302ea08ee5ddb376befea
2022-03-Bacon,0x7d2296bcb936aa5e2397ddf8ccba59f54a178c3901666b49291d880369dbcf31
2022-03-LiFi,0x4b4143cbe7f5475029cf23d6dcbb56856366d91794426f2e33819b9b1aac4e96
2022-03-Revest,0xe0b0c2672b760bef4e2851e91c69c8c0ad135c6987bbf1f43f5846d89e691428
2022-03-Ronin,0xed2c72ef1a552ddaec6dd1f5cddf0b59a8f37f82bdda5257d9c7c37db7bb9b08
2022-03-Umbrella,0x33479bcfbc792aa0f8103ab0d7a3784788b5b0e1467c81ffbed1b7682660b4fa
2022-04-AkutarNFT,0x62d280abc60f8b604175ab24896c989e6092e496ac01f2f5399b2a62e9feaacf
2022-04-Beanstalk,0x68cdec0ac76454c3b0f7af0b8a3895db00adf6daaf3b50a99716858c4fa54c6f;0xcd314668aaa9bbfebaf1a0bd2b6553d01dd58899c508d4729fa7311dc5d33ad7
2022-04-Rari,0xab486012f21be741c9e674ffda227e30518e8a1e37a5f1d58d0b0d41f6e76530
2022-04-Saddle,0x2b023d65485c4bb68d781960c2196588d03b871dc9eb1c054f596b7ca6f7da56
2022-05-Bayc_apecoin,0xeb8c3bebed11e2e4fcd30cbfc2fb3c55c4ca166003c7f7d319e78eaab9747098
2022-06-InverseFinance,0x958236266991bc3fe3b77feaacea120f172c0708ad01c7a715b255f218f9313c
2022-06-Snood,0x9a6227ef97d7ce75732645bd604ef128bb5dfbc1bfbe0966ad1cd2870d45a20e
2022-06-XCarnival,0x422e7b0a449deba30bfe922b5c34282efbdbf860205ff04b14fd8129c5b91433;0xabfcfaf3620bbb2d41a3ffea6e31e93b9b5f61c061b9cfc5a53c74ebe890294d
2022-07-Audius,0xfefd829e246002a8fd061eede7501bccb6e244a9aacea0ebceaecef5d877a984;0x3c09c6306b67737227edc24c663462d870e7c2bf39e9ab66877a980c900dd5d5;0x4227bca8ed4b8915c7eec0e14ad3748a88c4371d4176e716e8007249b9980dc9
2022-07-FlippazOne,0x8bded20c1db5a1d5f595b15e682a95ce11d3c895d6031147fa49c4ffa5729a30
2022-07-Omni,0x05d65e0adddc5d9ccfe6cd65be4a7899ebcb6e5ec7a39787971bcc3d6ba73996
2022-08-Circle,0xf1818f62c635e5c80ef16b7857da812c74ce330ebed46682b4d173bffe84c666
2022-08-LuckyTiger,0x804ff3801542bff435a5d733f4d8a93a535d73d0de0f843fd979756a7eab26af
2022-08-NomadBridge,0xed26708a7335116bdb0673f32ace7c2f329fe3cd349e200447210f1721f335f0;0xa5fe9d044e4f3e5aa5bc4c0709333cd2190cba0f4e7f16bcf73f49f83e4a5460
2022-08-XST,0x873f7c77d5489c1990f701e9bb312c103c5ebcdcf0a472db726730814bfd55f3
2022-09-BadGuysbyRPF,0xb613c68b00c532fe9b28a50a91c021d61a98d907d0217ab9b44cd8d6ae441d9f
2022-09-MEVbadc0de,0x59ddcf5ee5c687af2cbf291c3ac63bf28316a8ecbb621d9f62d07fa8a5b8ef4e;0x631d206d49b930029197e5e57bbbb9a4da2eb00993560c77104cd9f4ae2d1a98
2022-10-EFLeverVault,0x1f1aba5bef04b7026ae3cb1cb77987071a8aff9592e785dd99860566ccad83d1
2022-10-MEVa47b,0x35ecf595864400696853c53edf3e3d60096639b6071cadea6076c9c6ceb921c1
2022-10-N00d,0x8037b3dc0bf9d5d396c10506824096afb8125ea96ada011d35faa89fa3893aea
2022-10-OlympusDao,0x3ed75df83d907412af874b7998d911fdf990704da87c2b1a8cf95ca5d21504cf
2022-10-RabbyWallet_SwapRouter,0x914c1ae4f03657064f0b1d5ddc6e06f39e82bce6fb2f726efdca52c092fbfc26
2022-10-TeamFinance,0xe8f17ee00906cd0cfb61671937f11bd3d26cdc47c1534fedc43163a7e89edc6f;0x2972f75d5926f8f948ab6a0cabc517a05f0da5b53e20f670591afbaa501aa436;0xec75bb553f50af37f8dd8f4b1e2bfe4703b27f586187741b91db770ad9b230cb;0x79ec728612867b3d82c0e7401e6ee1c533b240720c749b3968dea1464e59b2c4;0x51185fb580892706500d3b6eebb8698c27d900618021fb9b1797f4a774fffb04;0xb2e3ea72d353da43a2ac9a8f1670fd16463ab370e563b9b5b26119b2601277ce
2022-10-Templedao,0x8c3f442fc6d640a6ff3ea0b12be64f1d4609ea94edd2966f42c01cd9bdcf04b5
2022-10-Uerii,0xf4a3d0e01bbca6c114954d4a49503fc94dfdbc864bded5530b51a207640d86b5
2022-10-XaveFinance,0xc18ec2eb7d41638d9982281e766945d0428aaeda6211b4ccb6626ea7cff31f4a
2022-11-BrahTOPG,0xeaef2831d4d6bca04e4e9035613be637ae3b0034977673c1c2f10903926f29c0
2022-11-DFX,0x6bfd9e286e37061ed279e4f139fbc03c8bd707a2cdd15f7260549052cbba79b7
2022-11-Kashi,0x3d163bfbec5686d428a6d43e45e2626a220cc4fcfac7620c620b82c1f2537c78
2022-11-MEV_0ad8,0x674f74b30a3d7bdf15fa60a7c29d96a402ea894a055f624164a8009df98386a0
2022-11-NUM,0x8a8145ab28b5d2a2e61d74c02c12350731f479b3175893de2014124f998bff32
2022-12-JAY,0xd4fafa1261f6e4f9c8543228a67caf9d02811e4ad3058a2714323964a8db61f6
2022-12-MEVbot_0x28d9,0x313d23bdd9277717e3088f32c976479c09d4b8a94d5d94deb835d157fd0850ce
2022-12-Rubic,0x9a97d85642f956ad7a6b852cf7bed6f9669e2c2815f3279855acf7f1328e7d46
2023-01-QTN,0x37cb8626e45f0749296ef080acb218e5ccc7efb2ae4d39c952566dc378ca1c4c;0xfde10ad92566f369b23ed5135289630b7a6453887c77088794552c2a3d1ce8b7
2023-01-RoeFinance,0x927b784148b60d5233e57287671cdf67d38e3e69e5b6d0ecacc7c1aeaa98985b
2023-01-SHOCO,0x2e832f044b4a0a0b8d38166fe4d781ab330b05b9efa9e72a7a0895f1b984084b
2023-01-TINU,0x6200bf5c43c214caa1177c3676293442059b4f39eb5dbae6cfd4e6ad16305668
2023-01-Upswing,0x4b3df6e9c68ae482c71a02832f7f599ff58ff877ec05fed0abd95b31d2d7d912
2023-02-CowSwap,0x90b468608fbcc7faef46502b198471311baca3baab49242a4a85b73d4924379b
2023-02-Dexible,0x138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6
2023-02-EFVault,0x1fe5a53405d00ce2f3e15b214c7486c69cbc5bf165cf9596e86f797f62e81914
2023-02-Orion,0xa6f63fcb6bec8818864d96a5b1bb19e8bd85ee37b2cc916412e720988440b2aa
2023-02-RevertFinance,0xdaccbc437cb07427394704fbcc8366589ffccf974ec6524f3483844b043f31d5
2023-03-Euler,0xc310a0affe2169d1f6feec1c63dbc7f7c62a887fa48795d327d4d2da2d6b111d
2023-03-paraspace,0xe3f0d14cfb6076cabdc9057001c3fafe28767a192e88005bc37bd7d385a1116a
2023-04-Sushi_Router,0x04b166e7b4ab5105a8e9c85f08f6346de1c66368687215b0e0b58d6e5002bc32
2023-04-Swapos,0x78edc292af51a93f89ac201a742bce9fa9c5d9a7007f034aa30535e35082d50a
2023-04-YearnFinance,0x055cec4fa4614836e54ea2e5cd3d14247ff3d61b85aa2a41f8cc876d131e0328;0xd55e43c1602b28d4fd4667ee445d570c8f298f5401cf04e62ec329759ecda95d
2023-05-ERC20TokenBank,0x578a195e05f04b19fd8af6358dc6407aa1add87c3167f053beb990d6b4735f26
2023-05-HODLCapital,0xedc214a62ff6fd764200ddaa8ceae54f842279eadab80900be5f29d0b75212df
2023-05-MultiChainCapital,0xf72f1d10fc6923f87279ce6c0aef46e372c6652a696f280b0465a301a92f2e26
2023-05-NOON,0x23fb7f093e827ed061aafb574cfd420eab879621c7f78cb341292e106a3a88c0
2023-06-CompounderFinance,0xcff84cc137c92e427f720ca1f2b36fbad793f34ec5117eed127060686e6797b1
2023-06-Contract_0x7657,0x74279a131dccd6479378b3454ea189a6ce350cce51de47d81a0ef23db1b134d5
2023-06-DEPUSDT_LEVUSDC,0x800a5b3178f680feebb81af69bd3dff791b886d4ce31615e601f2bb1f543bb2e
2023-06-MIMSpell,0x2c9f87e285026601a2c8903cf5f10e5b3655fbd0264490c41514ce073c42a9c3
2023-06-Pawnfi,0x8d3036371ccf27579d3cb3d4b4b71e99334cae8d7e8088247517ec640c7a59a5
2023-06-Sturdy,0xeb87ebc0a18aca7d2a9ffcabf61aa69c9e8d3c6efade9e2303f8857717fb9eb7
2023-06-VINU,0xaf46a42fe1ed7193b25c523723dc047c7500e50a00ecb7bbb822d665adb3e1f3
2023-07-AzukiDAO,0x6233c9315dd3b6a6fcc7d653f4dca6c263e684a76b4ad3d93595e3b8e8714d34
2023-07-Bao,0xdd7dd68cd879d07cfc2cb74606baa2a5bf18df0e3bda9f6b43f904f4f7bbdfc1
2023-07-Civfund,0xc42fc0e22a0f60cc299be80eb0c0ddce83c21c14a3dddd8430628011c3e20d6b
2023-07-CIVNFT,0x93a033917fcdbd5fe8ae24e9fe22f002949cba2f621a1c43a54f6519479caceb
2023-07-Conic02,0x37acd17a80a5f95728459bfea85cb2e1f64b4c75cf4a4c8dcb61964e26860882
2023-07-Conic,0x8b74995d1d61d3d7547575649136b8765acb22882960f0636941c44ec7bbe146
2023-07-Curve,0x2e7dc8b2fb7e25fd00ed9565dcc0ad4546363171d5e00f196d48103983ae477c
2023-07-USDTStakingContract28,0xfc872bf5ca8f04b18b82041ec563e4abf2e31e1fc27d1ea5dee39bc8a79d2d06
2023-08-Balancer,0x2a027c8b915c3737942f512fc5d26fd15752d0332353b3059de771a35a606c2d
2023-08-BTC20,0xcdd93e37ba2991ce02d8ca07bf6563bf5cd5ae801cbbce3dd0babb22e30b2dbe
2023-08-CurveBurner,0xd493c73397952049644c531309df3dd4134bf3db1e64eb6f0b68b016ee0bffde
2023-08-EarningFram,0x6e6e556a5685980317cb2afdb628ed4a845b3cbd1c98bdaffd0561cb2c4790fa
2023-08-EHIVE,0xad818ec910def08c70ac519ab0fffa084b4178014a91cd8aa2f882d972a511c1
2023-08-Uwerx,0x3b19e152943f31fe0830b67315ddc89be9a066dc89174256e17bc8c2d35b5af8
2023-08-Zunami,0x0788ba222970c7c68a738b0e08fb197e669e61f9b226ceec4cab9b85abe8cceb
